,Accipiter_gentilis,Accipiter_nisus,Aegolius_funereus,Asio_otus,Buteo_buteo,Canis_lupus,Glaucidium_passerinum,Lutra_lutra,Lynx_lynx,Martes_martes,Mustela_erminea,Mustela_nivalis,Mustela_putorius,Mustela_vison,Nyctereutes_procyonoides,Strix_aluco,Vulpes_vulpes
Abramis_brama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aegithalos_caudatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alauda_arvensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas_sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthus_sp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apodemus_agrarius,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Apodemus_flavicollis,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
Apodemus_sylvaticus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arvicola_terrestris,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Astacus_sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Bison_bonasus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blicca_bjoerkna,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bonasa_bonasia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bufo_sp.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bulbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canis_familiaris,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capreolus_capreolus,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Carassius_carassius,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carcass,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
Carduelis_carduelis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Carduelis_chloris,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carduelis_spinus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Certhia_familiaris,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cervus_elaphus,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Clethrionomys_glareolus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coccothraustes_coccothraustes,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Coleoptera,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
Columba_livia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columba_palumbus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_corone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_frugilegus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuculus_canorus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cygnus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dendrocopos_leucotos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocopos_major,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Dendrocopos_medius,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocopos_minor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryocopus_martius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryomys_nitedula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emberiza_citrinella,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Emberiza_schoeniclus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erinaceus_concolor,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Erithacus_rubecula,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Esox_lucius,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Felis_catus,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ficedula_albicollis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ficedula_hypoleuca,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Fleshy_fruits,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Fringilla_coelebs,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gallus_gallus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Garrulus_glandarius,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Gasterosteus_aculeatus,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Gastropoda_sp.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Glis_glis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gobio_gobio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grasses,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Gymnocephalus_cernuus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Heteroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hippolais_icterina,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirundo_rustica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenoptera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Jynx_torquilla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacerta_sp.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Lanius_collurio,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Larus_ridibundus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepus_europaeus,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1
Leuciscus_idus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lota_lota,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lumbricidae_sp.,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Micromys_minutus,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Microtus_agrestis,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
Microtus_arvalis,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
Microtus_oeconomus,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
Misgurnus_fossilis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Motacilla_flava,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mus_musculus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Muscicapa_striata,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mushrooms,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Natrix_natrix,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neomys_fodiens,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
Nucifraga_caryocatactes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oriolus_oriolus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parus_caeruleus,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Parus_major,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Pelobates_fuscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Perca_fluviatilis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Phoenicurus_phoenicurus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phylloscopus_collybita,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylloscopus_sibilatrix,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Picoides_tridactylus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picus_viridis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitymys_subterraneus,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1
Porzana_porzana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prunella_modularis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrrhula_pyrrhula,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Rana_arvalis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Rana_esculenta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rana_temporaria,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
Rattus_norvegicus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Regulus_regulus,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Riparia_riparia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutilus_rutilus,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Scardinius_erythrophthalmus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sciurus_vulgaris,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Scolopax_rusticola,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serinus_serinus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sicista_betulina,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
Sylvia_atricapilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylvia_communis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sitta_europaea,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
Sorex_araneus,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1
Sorex_minutus,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
Sturnus_vulgaris,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus_scrofa,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Talpa_europaea,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1
Tinca_tinca,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tree_seeds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Trichoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tringa_ochropus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troglodytes_troglodytes,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Turdus_iliacus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Turdus_merula,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turdus_philomelos,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Undet._amphibians,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
Undet._bats,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undet._birds,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
Vanellus_vanellus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
